Dep.,code,ColorT1,Color_hachT1,Abs_Commune
16,16316,orange,hach_bleuemarine,49.7
16,16317,rose,hach_bleuemarine,49.3
16,16318,orange,hach_rose,44.8
16,16320,bleuemarine,hach_rose,49.2
16,16321,rouge,hach_grise,31.6
16,16323,bleuemarine,hach_rose,48
16,16325,bleuemarine,hach_orange,34.7
16,16326,rose,hach_orange,41.5
16,16329,orange,hach_rose,48
16,16330,orange,hach_rouge,48.8
16,16331,orange,hach_rouge,42.1
16,16334,bleuemarine,hach_orange,55.7
16,16335,rose,hach_bleuemarine,40.6
16,16336,bleuemarine,hach_orange,53.3
16,16337,rose,hach_bleuemarine,42
16,16338,bleuemarine,hach_bleue,45.6
16,16339,bleuemarine,hach_orange,49.2
16,16340,orange,hach_rouge,52.3
16,16341,orange,hach_rouge,50.2
16,16342,orange,hach_bleuemarine,50.6
16,16343,orange,hach_bleuemarine,53.1
16,16345,rose,hach_orange,32.5
16,16346,orange,hach_bleuemarine,45.2
16,16347,bleuemarine,hach_rouge,49
16,16348,orange,hach_bleuemarine,48.6
16,16349,orange,hach_bleuemarine,51.5
16,16350,orange,hach_bleuemarine,45
16,16352,orange,hach_rouge,46.9
16,16353,orange,hach_bleuemarine,51.9
16,16354,orange,hach_bleuemarine,45.9
16,16355,bleuemarine,hach_orange,50.9
16,16356,rouge,hach_orange,19.4
16,16357,bleuemarine,hach_rouge,51.2
16,16358,orange,hach_rouge,47.4
16,16359,orange,hach_bleuemarine,48.6
16,16360,bleuemarine,hach_orange,47.5
16,16361,bleuemarine,hach_rose,49.4
16,16362,rouge,hach_orange,55.4
16,16363,orange,hach_bleuemarine,44.2
16,16364,rose,hach_bleuemarine,35.8
16,16365,bleuemarine,hach_orange,44.2
16,16366,orange,hach_bleuemarine,58.8
16,16368,rouge,hach_bleuemarine,49.1
16,16369,orange,hach_bleuemarine,54.1
16,16370,bleuemarine,hach_orange,50.3
16,16372,bleuemarine,hach_orange,32.8
16,16373,rose,hach_rose,42.5
16,16374,orange,hach_rouge,55.4
16,16375,rouge,hach_rose,49.8
16,16377,bleuemarine,hach_rose,42
16,16378,rouge,hach_rose,40.6
16,16379,rouge,hach_bleuemarine,46.7
16,16380,orange,hach_bleuemarine,50
16,16381,rose,hach_orange,46.2
16,16382,rouge,hach_orange,47.7
16,16383,bleuemarine,hach_orange,52.1
16,16384,bleuemarine,hach_orange,51.7
16,16385,orange,hach_rouge,46.1
16,16387,orange,hach_bleuemarine,48.2
16,16388,orange,hach_rose,49
16,16389,rose,hach_orange,41.5
16,16390,rose,hach_bleuemarine,29.9
16,16392,rose,hach_rose,49.1
16,16393,bleuemarine,hach_orange,55.5
16,16394,orange,hach_bleuemarine,42.9
16,16395,orange,hach_bleuemarine,36.8
16,16396,rouge,hach_orange,43.7
16,16397,bleuemarine,hach_rose,50.9
16,16398,bleuemarine,hach_rose,42.3
16,16399,orange,hach_rouge,45.4
16,16400,orange,hach_rose,41.4
16,16401,bleuemarine,hach_rose,49.1
16,16402,orange,hach_bleuemarine,45.6
16,16403,rose,hach_rose,47.6
16,16404,rose,hach_orange,44.9
16,16405,orange,hach_bleue,54.7
16,16406,bleuemarine,hach_orange,45.5
16,16408,orange,hach_bleuemarine,46.2
16,16409,bleuemarine,hach_orange,45.9
16,16412,rouge,hach_bleuemarine,58.6
16,16413,grise,hach_rose,45.2
16,16414,bleuemarine,hach_rose,52.4
16,16415,rose,hach_rose,47.7
16,16416,rouge,hach_bleuemarine,44
16,16418,orange,hach_rouge,46.6
16,16419,rose,hach_orange,42
16,16420,orange,hach_rouge,51.8
16,16421,bleuemarine,hach_orange,42.5
16,16422,bleuemarine,hach_rouge,42.6
16,16423,bleuemarine,hach_rose,40.8
16,16424,orange,hach_bleuemarine,47.2
16,16425,bleuemarine,hach_rose,41.6
17,17002,bleuemarine,hach_rouge,41.1
17,17003,rouge,hach_orange,48
17,17004,rouge,hach_orange,33.2
17,17005,orange,hach_bleue,43
17,17006,orange,hach_bleue,42.3
17,17007,rouge,hach_bleuemarine,46.3
17,17008,orange,hach_rouge,52.4
17,17009,rouge,hach_bleuemarine,52.6
17,17010,orange,hach_rouge,46.6
17,17011,bleuemarine,hach_rouge,45.3
17,17012,orange,hach_bleuemarine,49.6
17,17013,bleuemarine,hach_orange,55.5
17,17015,bleue,hach_bleuemarine,52.1
17,17016,bleuemarine,hach_rouge,55.2
17,17017,bleuemarine,hach_orange,49.2
17,17018,bleuemarine,hach_rouge,58.5
17,17019,rose,hach_orange,43.7
17,17020,orange,hach_bleuemarine,47.8
17,17021,bleuemarine,hach_orange,52
17,17022,bleuemarine,hach_orange,50.2
17,17023,rose,hach_bleuemarine,57.6
17,17024,bleuemarine,hach_orange,48.4
17,17025,orange,hach_bleuemarine,48.4
17,17026,bleuemarine,hach_orange,51.5
17,17027,bleuemarine,hach_orange,43.6
17,17028,rouge,hach_orange,50.9
17,17029,orange,hach_rose,41.9
17,17030,orange,hach_bleue,54.6
17,17031,orange,hach_bleuemarine,64.9
17,17032,rouge,hach_bleuemarine,52.1
17,17033,bleuemarine,hach_rouge,50.1
17,17034,bleue,hach_rouge,45.2
17,17035,orange,hach_bleuemarine,36.5
17,17036,bleuemarine,hach_orange,48.3
17,17037,orange,hach_bleuemarine,53
17,17038,bleuemarine,hach_rouge,43.6
17,17039,orange,hach_bleuemarine,52
17,17041,bleuemarine,hach_rouge,56.1
17,17042,bleuemarine,hach_orange,56.5
17,17043,rouge,hach_bleuemarine,52.7
17,17044,bleuemarine,hach_rouge,51.8
17,17045,bleuemarine,hach_orange,58.2
17,17046,orange,hach_bleuemarine,45.4
17,17047,bleuemarine,hach_rouge,53.8
17,17048,orange,hach_bleuemarine,53.8
17,17049,orange,hach_bleuemarine,38.1
17,17050,bleuemarine,hach_orange,54.6
17,17051,rose,hach_orange,45.1
17,17052,bleuemarine,hach_orange,46.8
17,17053,bleuemarine,hach_orange,55.2
17,17054,rouge,hach_bleuemarine,45
17,17055,bleuemarine,hach_bleue,43.6
17,17056,bleuemarine,hach_rouge,43.7
17,17057,bleuemarine,hach_orange,52.3
17,17058,bleuemarine,hach_rose,51.1
17,17059,orange,hach_rouge,48.2
17,17060,bleue,hach_bleuemarine,42.8
17,17061,orange,hach_rouge,41.3
17,17062,orange,hach_bleuemarine,50
17,17063,rouge,hach_bleuemarine,49.3
17,17064,orange,hach_bleuemarine,47.5
17,17065,rouge,hach_orange,45
17,17066,orange,hach_rouge,39.9
17,17067,orange,hach_bleueclaire,46.3
17,17068,bleuemarine,hach_bleue,41.9
17,17069,rouge,hach_bleuemarine,48.9
17,17070,bleuemarine,hach_orange,55
17,17071,orange,hach_bleuemarine,55.7
17,17072,bleuemarine,hach_rose,49.2
17,17073,orange,hach_rouge,42.1
17,17074,bleuemarine,hach_orange,50.3
17,17075,bleuemarine,hach_orange,49.8
17,17076,orange,hach_bleuemarine,53.3
17,17077,bleuemarine,hach_orange,51.9
17,17078,bleuemarine,hach_rouge,54.7
17,17079,bleuemarine,hach_bleue,52.8
17,17080,bleuemarine,hach_orange,56.6
17,17081,bleuemarine,hach_rouge,51.6
17,17082,orange,hach_rouge,49.9
17,17083,bleuemarine,hach_rose,48.9
17,17084,bleuemarine,hach_bleue,52.2
17,17085,bleuemarine,hach_rouge,53.5
17,17086,orange,hach_bleuemarine,46.4
17,17087,bleuemarine,hach_bleue,50.7
17,17089,rouge,hach_bleuemarine,49.2
17,17091,bleuemarine,hach_orange,52.7
17,17092,bleuemarine,hach_orange,43.4
17,17093,rouge,hach_orange,52.1
17,17094,orange,hach_bleue,45
17,17095,bleuemarine,hach_rouge,51.3
17,17096,orange,hach_rouge,31
17,17097,bleuemarine,hach_orange,46.2
17,17098,bleuemarine,hach_bleue,45.2
17,17099,orange,hach_bleuemarine,50.4
17,17100,orange,hach_bleuemarine,50
17,17101,bleuemarine,hach_orange,46.1
17,17102,orange,hach_bleuemarine,43.8
17,17104,orange,hach_bleuemarine,48.8
17,17105,bleuemarine,hach_orange,48.3
17,17106,orange,hach_bleuemarine,57
17,17107,bleuemarine,hach_rouge,50.8
